symbol,fiscal_year,quarter,eps,eps_a,dps,roe,net_profit,paidup_capital,pde,pe,price
TPC,082/083,q4,11.17,11.17,11.17,10.78,89339144.0,800000000.0,32.53,32.53,363.4
TRH,082/083,q4,-35.97,-35.97,-35.97,-30.3,-705788586.0,1962120160.0,-23.35,-23.35,840.0
TSHL,082/083,q3,-4.6,-9.18,-9.18,-15.02,-33911145.0,492500000.0,-39.32,-78.48,361.0
TTL,082/083,q3,2.45,2.45,2.45,2.31,15007425.66,815609700.0,291.43,291.43,714.0
TVCL,082/083,q3,-5.26,-6.99,-6.99,-8.94,-94033036.0,1789162770.0,-67.95,-90.3,475.0
UAIL,082/083,q3,-4.03,-4.03,-4.03,-2.3,-69790487.0,2310000000.0,-108.09,-108.09,435.6
UHEWA,082/083,q3,18.72,18.72,18.72,16.24,80728388.0,575000000.0,33.6,33.6,628.9
ULBSL,082/083,q4,52.93,52.93,4.61,17.32,56182000.0,106148200.0,595.44,51.86,2745.0
ULHC,082/083,q4,-5.69,-5.69,-5.69,-6.43,-29018589.0,509804000.0,-60.11,-60.11,342.0
UMHL,082/083,q3,4.08,5.43,5.43,4.86,50243000.0,1230500000.0,107.73,143.38,585.0
UMRH,082/083,q3,19.15,19.15,19.15,16.64,69508395.4,483865200.0,27.6,27.6,528.5
UNHPL,082/083,q4,4.36,4.36,4.36,4.15,32678580.0,750000000.0,85.78,85.78,374.0
UNL,082/083,q4,424.32,424.32,424.32,7.66,390800000.0,92100000.0,111.71,111.71,47400.0
UNLB,082/083,q4,34.39,34.39,29.37,18.47,51097789.0,148575000.0,43.0,36.72,1262.9
UPCL,082/083,q3,1.1,1.1,1.1,0.95,20506227.0,2485123618.0,316.36,316.36,348.0
UPPER,082/083,q3,1.35,1.8,1.8,3.86,286757593.46,21180000000.0,107.5,143.33,193.5
USHEC,082/083,q4,15.46,15.46,15.46,12.99,208763013.17,1350000000.0,32.42,32.42,501.2
USHL,082/083,q3,5.2,5.2,5.2,5.42,8585481.0,220000000.0,104.42,104.42,543.0
USLB,082/083,q3,23.94,23.94,13.92,14.15,44325539.92,246865736.29,80.53,46.83,1121.0
VLBS,082/083,q3,-0.45,-4.51,7.17,-2.84,-26796152.17,791722059.0,91.77,-1462.22,658.0
VLUCL,082/083,q4,4.73,4.73,4.73,3.43,90455709.0,1912500000.0,87.32,87.32,413.0
WNLB,082/083,q4,9.89,9.89,-30.44,7.57,8342750.0,84340550.0,-42.74,131.55,1301.0
YMHL,082/083,q4,-7.62,-7.62,-7.62,-8.15,-53317657.0,700000000.0,-81.76,-81.76,623.0
